FILE_PATH METHOD_NAME NUMBER_OF_ANALYSED_FILE SKIPPED_IDENTIFICATION local
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeBound 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeParameter 3 3 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java annotation 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeParameterModifier 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeVariable 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java classOrInterfaceType 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java additionalBound 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java additionalBound 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeBound 3 3 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java interfaceType 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java additionalBound 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeArgumentList 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeArguments 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeArgument 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeArgument 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeArgumentList 3 3 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java referenceType 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java wildcard 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeArgument 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java annotation 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java annotation 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java wildcardBounds 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java wildcard 3 3 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java referenceType 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java wildcardBounds 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java Identifier 1 1 0
